Z,symbol,name,isotope,monoisotopic.mass,isotopic.composition,avg.isotopic.weight
22,46Ti,titanium,46,45.952 627 72(35),0.0825(3),47.867(1)
22,47Ti,titanium,47,46.951 758 79(38),0.0744(2),47.867(1)
22,Ti,titanium,48,47.947 941 98(38),0.7372(3),47.867(1)
22,49Ti,titanium,49,48.947 865 68(39),0.0541(2),47.867(1)
22,50Ti,titanium,50,49.944 786 89(39),0.0518(2),47.867(1)
23,50V,vanadium,50,49.947 156 01(95),0.002 50(4),50.9415(1)
23,V,vanadium,51,50.943 957 04(94),0.997 50(4),50.9415(1)
24,50Cr,chromium,50,49.946 041 83(94),0.043 45(13),51.9961(6)
24,Cr,chromium,52,51.940 506 23(63),0.837 89(18),51.9961(6)
24,53Cr,chromium,53,52.940 648 15(62),0.095 01(17),51.9961(6)
24,54Cr,chromium,54,53.938 879 16(61),0.023 65(7),51.9961(6)
25,Mn,manganese,55,54.938 043 91(48),1,54.938044(3)
26,54Fe,iron,54,53.939 608 99(53),0.058 45(35),55.845(2)
26,Fe,iron,56,55.934 936 33(49),0.917 54(36),55.845(2)
26,57Fe,iron,57,56.935 392 84(49),0.021 19(10),55.845(2)
26,58Fe,iron,58,57.933 274 43(53),0.002 82(4),55.845(2)
27,Co,cobalt,59,58.933 194 29(56),1,58.933194(4)
28,Ni,nickel,58,57.935 342 41(52),0.680 77(19),58.6934(4)
28,60Ni,nickel,60,59.930 785 88(52),0.262 23(15),58.6934(4)
28,61Ni,nickel,61,60.931 055 57(52),0.011 399(13),58.6934(4)
28,62Ni,nickel,62,61.928 345 37(55),0.036 346(40),58.6934(4)
28,64Ni,nickel,64,63.927 966 82(58),0.009 255(19),58.6934(4)
29,Cu,copper,63,62.929 597 72(56),0.6915(15),63.546(3)
29,65Cu,copper,65,64.927 789 70(71),0.3085(15),63.546(3)
30,Zn,zinc,64,63.929 142 01(71),0.4917(75),65.38(2)
30,66Zn,zinc,66,65.926 033 81(94),0.2773(98),65.38(2)
30,67Zn,zinc,67,66.927 127 75(96),0.0404(16),65.38(2)
30,68Zn,zinc,68,67.924 844 55(98),0.1845(63),65.38(2)
30,70Zn,zinc,70,69.925 3192(21),0.0061(10),65.38(2)
31,Ga,gallium,69,68.925 5735(13),0.601 08(9),69.723(1)
31,71Ga,gallium,71,70.924 702 58(87),0.398 92(9),69.723(1)
32,70Ge,germanium,70,69.924 248 75(90),0.2057(27),72.630(8)
32,72Ge,germanium,72,71.922 075 826(81),0.2745(32),72.630(8)
32,73Ge,germanium,73,72.923 458 956(61),0.0775(12),72.630(8)
32,Ge,germanium,74,73.921 177 761(13),0.3650(20),72.630(8)
32,76Ge,germanium,76,75.921 402 726(19),0.0773(12),72.630(8)
33,As,arsenic,75,74.921 594 57(95),1,74.921595(6)
34,74Se,selenium,74,73.922 475 934(15),0.0089(4),78.971(8)
34,76Se,selenium,76,75.919 213 704(17),0.0937(29),78.971(8)
34,77Se,selenium,77,76.919 914 154(67),0.0763(16),78.971(8)
34,78Se,selenium,78,77.917 309 28(20),0.2377(28),78.971(8)
34,Se,selenium,80,79.916 5218(13),0.4961(41),78.971(8)
34,82Se,selenium,82,81.916 6995(15),0.0873(22),78.971(8)
35,Br,bromine,79,78.918 3376(14),0.5069(7),"[79.901,79.907]"
35,81Br,bromine,81,80.916 2897(14),0.4931(7),"[79.901,79.907]"
36,78Kr,krypton,78,77.920 364 94(76),0.003 55(3),83.798(2)
36,80Kr,krypton,80,79.916 378 08(75),0.022 86(10),83.798(2)
36,82Kr,krypton,82,81.913 482 73(94),0.115 93(31),83.798(2)
36,83Kr,krypton,83,82.914 127 16(32),0.115 00(19),83.798(2)
36,Kr,krypton,84,83.911 497 7282(44),0.569 87(15),83.798(2)
36,86Kr,krypton,86,85.910 610 6269(41),0.172 79(41),83.798(2)
37,Rb,rubidium,85,84.911 789 7379(54),0.7217(2),85.4678(3)
37,87Rb,rubidium,87,86.909 180 5310(60),0.2783(2),85.4678(3)
38,84Sr,strontium,84,83.913 4191(13),0.0056(1),87.62(1)
38,86Sr,strontium,86,85.909 2606(12),0.0986(1),87.62(1)
38,87Sr,strontium,87,86.908 8775(12),0.0700(1),87.62(1)
38,Sr,strontium,88,87.905 6125(12),0.8258(1),87.62(1)
39,Y,yttrium,89,88.905 8403(24),1,88.90584(2)
40,Zr,zirconium,90,89.904 6977(20),0.5145(40),91.224(2)
40,91Zr,zirconium,91,90.905 6396(20),0.1122(5),91.224(2)
40,92Zr,zirconium,92,91.905 0347(20),0.1715(8),91.224(2)
40,93Zr,zirconium,94,93.906 3108(20),0.1738(28),91.224(2)
40,96Zr,zirconium,96,95.908 2714(21),0.0280(9),91.224(2)
41,Nb,niobium,93,92.906 3730(20),1,92.90637(2)
42,92Mo,molybdenum,92,91.906 807 96(84),0.1453(30),95.95(1)
42,94Mo,molybdenum,94,93.905 084 90(48),0.0915(9),95.95(1)
42,95Mo,molybdenum,95,94.905 838 77(47),0.1584(11),95.95(1)
42,96Mo,molybdenum,96,95.904 676 12(47),0.1667(15),95.95(1)
42,97Mo,molybdenum,97,96.906 018 12(49),0.0960(14),95.95(1)
42,Mo,molybdenum,98,97.905 404 82(49),0.2439(37),95.95(1)
42,100Mo,molybdenum,100,99.907 4718(11),0.0982(31),95.95(1)
43,97Tc,technetium,97,96.906 3667(40),,[98]
43,Tc,technetium,98,97.907 2124(36),,[98]
43,99Tc,technetium,99,98.906 2508(10),,[98]
44,96Ru,ruthenium,96,95.907 590 25(49),0.0554(14),101.07(2)
44,98Ru,ruthenium,98,97.905 2868(69),0.0187(3),101.07(2)
44,99Ru,ruthenium,99,98.905 9341(11),0.1276(14),101.07(2)
44,100Ru,ruthenium,100,99.904 2143(11),0.1260(7),101.07(2)
44,101Ru,ruthenium,101,100.905 5769(12),0.1706(2),101.07(2)
44,Ru,ruthenium,102,101.904 3441(12),0.3155(14),101.07(2)
44,104Ru,ruthenium,104,103.905 4275(28),0.1862(27),101.07(2)
45,Rh,rhodium,103,102.905 4980(26),1,102.90550(2)
46,102Pd,palladium,102,101.905 6022(28),0.0102(1),106.42(1)
46,104Pd,palladium,104,103.904 0305(14),0.1114(8),106.42(1)
46,105Pd,palladium,105,104.905 0796(12),0.2233(8),106.42(1)
46,Pd,palladium,106,105.903 4804(12),0.2733(3),106.42(1)
46,108Pd,palladium,108,107.903 8916(12),0.2646(9),106.42(1)
46,110Pd,palladium,110,109.905 172 20(75),0.1172(9),106.42(1)
47,Ag,silver,107,106.905 0916(26),0.518 39(8),107.8682(2)
47,109Ag,silver,109,108.904 7553(14),0.481 61(8),107.8682(2)
48,106Cd,cadmium,106,105.906 4599(12),0.0125(6),112.414(4)
48,108Cd,cadmium,108,107.904 1834(12),0.0089(3),112.414(4)
48,110Cd,cadmium,110,109.903 006 61(61),0.1249(18),112.414(4)
48,111Cd,cadmium,111,110.904 182 87(61),0.1280(12),112.414(4)
48,112Cd,cadmium,112,111.902 762 87(60),0.2413(21),112.414(4)
48,113Cd,cadmium,113,112.904 408 13(45),0.1222(12),112.414(4)
48,Cd,cadmium,114,113.903 365 09(43),0.2873(42),112.414(4)
48,116Cd,cadmium,116,115.904 763 15(17),0.0749(18),112.414(4)
49,113In,indium,113,112.904 061 84(91),0.0429(5),114.818(1)
49,In,indium,115,114.903 878 776(12),0.9571(5),114.818(1)
50,112Sn,tin,112,111.904 823 87(61),0.0097(1),118.710(7)
50,114Sn,tin,114,113.902 7827(10),0.0066(1),118.710(7)
50,115Sn,tin,115,114.903 344 699(16),0.0034(1),118.710(7)
50,116Sn,tin,116,115.901 742 80(10),0.1454(9),118.710(7)
50,117Sn,tin,117,116.902 953 98(52),0.0768(7),118.710(7)
50,118Sn,tin,118,117.901 606 57(54),0.2422(9),118.710(7)
50,119Sn,tin,119,118.903 311 17(78),0.0859(4),118.710(7)
50,Sn,tin,120,119.902 201 63(97),0.3258(9),118.710(7)
50,122Sn,tin,122,121.903 4438(26),0.0463(3),118.710(7)
50,124Sn,tin,124,123.905 2766(11),0.0579(5),118.710(7)
51,Sb,antimony,121,120.903 8120(30),0.5721(5),121.760(1)
51,123Sb,antimony,123,122.904 2132(23),0.4279(5),121.760(1)
52,120Te,tellurium,120,119.904 0593(33),0.0009(1),127.60(3)
52,122Te,tellurium,122,121.903 0435(16),0.0255(12),127.60(3)
52,123Te,tellurium,123,122.904 2698(16),0.0089(3),127.60(3)
52,124Te,tellurium,124,123.902 8171(16),0.0474(14),127.60(3)
52,125Te,tellurium,125,124.904 4299(16),0.0707(15),127.60(3)
52,126Te,tellurium,126,125.903 3109(16),0.1884(25),127.60(3)
52,128Te,tellurium,128,127.904 461 28(93),0.3174(8),127.60(3)
52,Te,tellurium,130,129.906 222 748(12),0.3408(62),127.60(3)
53,I,iodine,127,126.904 4719(39),1,126.90447(3)
54,124Xe,xenon,124,123.905 8920(19),0.000 952(3),131.293(6)
54,126Xe,xenon,126,125.904 2983(38),0.000 890(2),131.293(6)
54,128Xe,xenon,128,127.903 5310(11),0.019 102(8),131.293(6)
54,Xe,xenon,129,128.904 780 8611(60),0.264 006(82),131.293(6)
54,130Xe,xenon,130,129.903 509 349(10),0.040 710(13),131.293(6)
54,131Xe,xenon,131,130.905 084 06(24),0.212 324(30),131.293(6)
54,132Xe,xenon,132,131.904 155 0856(56),0.269 086(33),131.293(6)
54,134Xe,xenon,134,133.905 394 66(90),0.104 357(21),131.293(6)
54,136Xe,xenon,136,135.907 214 484(11),0.088 573(44),131.293(6)
55,Cs,cesium,133,132.905 451 9610(80),1,132.90545196(6)
56,130Ba,barium,130,129.906 3207(28),0.001 06(1),137.327(7)
56,132Ba,barium,132,131.905 0611(11),0.001 01(1),137.327(7)
